Date,<7000,7000-8000,8000-9000,9000-10000,10000-11000,11000-12000,>12000,total
2025-10-01,0.0,0.0,0.0,0.0,0.0,2.2614331240955463e-10,3.328934639057479e-08,4.3078149380981756e-10
2025-10-02,0.0,0.0,0.0,0.0,0.0,2.2614331240955463e-10,3.328934639057479e-08,4.3078149380981756e-10
2025-10-03,0.0,0.0,0.0,1.4031209971676617e-08,4.9308670924119744e-08,4.9542951074954544e-08,1.0141393147478085e-07,1.0873630884589149e-08
2025-10-04,7.76177289107948e-10,1.233117075116752e-07,1.1160366284457268e-06,2.540053174016066e-06,6.833292900410015e-06,1.1260361134191044e-05,1.2257370144652668e-05,1.99930218514055e-06
2025-10-05,0.0,2.0379783971513632e-10,8.088428415931048e-08,7.600282287967275e-07,5.108484856464202e-06,1.0373853001510724e-05,1.145995884144213e-05,1.4048150660528336e-06
2025-10-06,0.0,5.405266078478688e-12,8.294361641958403e-09,2.775164489321469e-07,3.900919637089828e-06,9.627113286114763e-06,1.1108762009826025e-05,1.1694575050569256e-06
2025-10-07,0.0,0.0,1.2508060143190391e-09,8.0781568101429e-08,2.5920521693478804e-06,8.710015208635014e-06,1.0813769222295376e-05,9.575308013154429e-07
2025-10-08,0.0,0.0,5.72953414313543e-13,2.5994145502750143e-08,1.375938609271543e-06,6.601806489925366e-06,9.733832484926095e-06,6.850624458820675e-07
2025-10-09,0.0,0.0,0.0,5.75736402996796e-10,2.310665365712339e-07,2.1953871964797145e-06,4.747832008433761e-06,2.243655927713917e-07
2025-10-10,0.0,0.0,0.0,0.0,2.753328454119241e-09,1.1554620726883513e-07,4.149373182826821e-07,1.2981449692972546e-08
2025-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,3.027593322713074e-07,2.4090711576718604e-06,2.680307716218522e-06,3.102770961049828e-06,2.619025508465711e-06,2.22010839934228e-06,1.983692300200346e-06,1.5831601558602415e-06
2025-10-15,1.3215881153882949e-05,4.104214895050973e-05,3.8681639125570655e-05,3.7878558941883966e-05,3.1153653253568336e-05,2.789679456327576e-05,2.692783709790092e-05,2.588120150903705e-05
2025-10-16,8.335438906215131e-06,3.771259798668325e-05,4.1523711843183264e-05,4.1398681787541136e-05,3.800124613917433e-05,4.067435293109156e-05,4.011308556073345e-05,2.56790553976316e-05
2025-10-17,6.257109362195479e-06,3.489205482765101e-05,4.005135633633472e-05,4.034856829093769e-05,3.699060835060664e-05,3.961944094044157e-05,3.868749627145007e-05,2.388068605796434e-05
2025-10-18,4.1365506149304565e-06,2.871580727514811e-05,3.54604417225346e-05,3.676403139252216e-05,3.415631363168359e-05,3.703023321577348e-05,3.5646004107547924e-05,2.0632152882171795e-05
2025-10-19,1.8051358665616133e-06,1.9661991245811805e-05,2.8478438252932392e-05,3.2004729291656986e-05,3.13633972837124e-05,3.553631904651411e-05,3.416014078538865e-05,1.656495442148298e-05
2025-10-20,7.723938892922888e-07,1.2369980140647384e-05,1.9122613593935966e-05,2.368247805861756e-05,2.4475566533510573e-05,3.179457416990772e-05,3.116977677564137e-05,1.2028342098346911e-05
2025-10-21,1.913366389771909e-07,7.09348933014553e-06,1.3660252079716884e-05,1.899518247228116e-05,2.0511573893600143e-05,2.9250588340801187e-05,2.9165585146984085e-05,9.255710210709369e-06
2025-10-22,9.970880121557002e-09,2.4088178633974167e-06,6.722353646182455e-06,1.22055744213867e-05,1.4815156646363905e-05,2.52133122558007e-05,2.662905899342149e-05,6.031192697264487e-06
2025-10-23,1.12377029903854e-09,1.6981293811113574e-06,6.400262918759836e-06,1.2784179489244709e-05,1.5871590221649967e-05,2.6700656235334463e-05,2.8794220270356163e-05,6.188994575495599e-06
2025-10-24,3.8877703140149926e-11,4.996458073946997e-07,2.9611223908432294e-06,9.302300895797089e-06,1.3709603990719188e-05,2.555654828029219e-05,2.777669760689605e-05,4.884870577370748e-06
