time,pillow,method,QUALITYSCORE,severity,flag,reason_code,reason_detail,cur_mm,prev_mm,diff_mm,peer_median_mm,resid_mm,thr_mm,sigma_mm,n_peers_used,peers_used,missing_today_flag,phys_flag,nan_transition_flag,dswe_flag,pred_flag,pred_check_skipped,pred_skip_reason,dq_lo,dq_hi,snow_present_mm,melt_gate,vote_ok_frac,ok_frac_thresh,voters_used,voters_dropped,n_vote_records,dynamic_voters,n_dynamic_voters,use_delta,voters_list,vote_check_skipped,vote_skip_reason,pred_method,pred_method_used,dswe_mm,yhat_mm,se_pred_mm,h0,hist_dq_lo,hist_dq_hi
2025-10-01,AGP,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,BCB,static,0.0,0.0,0,OK,,7.112,7.112,0.0,0.0,7.112,160.64919863999998,44.6247774,4.0,"FLV,KUB,KUP,TNY",0,0,0,0,0,0.0,,-83.05799999999999,114.91467999999955,,,,,,,,,,,,,,,,,,,,,
2025-10-01,BGP,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,BSH,static,2.0,2.0,1,PHYS_RANGE,,-67.30999999999999,-67.30999999999999,0.0,,,,,0.0,,0,1,0,0,0,0.0,,-66.294,66.04000000000008,,,,,,,,,,,,,,,,,,,,,
2025-10-01,CHM,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,82.01921111999998,22.783114199999996,5.0,"TMR,STR,KSP,GRM,KUB",0,0,0,0,0,0.0,,-49.78400000000006,79.63661999999972,,,,,,,,,,,,,,,,,,,,,
2025-10-01,DAN,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,93.54257136000021,25.984047600000057,4.0,"MHP,STR,TNY,KUB",0,0,0,0,0,0.0,,-67.00519999999996,86.35999999999999,,,,,,,,,,,,,,,,,,,,,
2025-10-01,DPO,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,FLV,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,90.15334775999995,25.042596599999985,4.0,"CHM,MHP,STL,STR",0,0,0,0,0,0.0,,-70.35799999999998,74.36993000000027,,,,,,,,,,,,,,,,,,,,,
2025-10-01,GEM,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,GRM,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,76.59645335999969,21.27679259999991,5.0,"TMR,CHM,KUB,KUP,STR",0,0,0,0,0,0.0,,-52.50434,69.26071999999817,,,,,,,,,,,,,,,,,,,,,
